Step,Phase,Chunk,F1_Macro,S_rep,S_KAN,Entropy,Drift_Type,Action
1,Phase1_Train,full_init,0.8397,0.0,0.0,0.0,No Drift,initial_train
2,Phase2_DriftTest,l1-doh-nondoh,0.0000,0.888041,0.001305,1.4562,No Drift,no_action
3,Phase2_DriftTest,l2-benigndoh-maliciousdoh,0.0000,0.889693,0.001758,1.4596,No Drift,no_action
4,Phase2_DriftTest,benign-monday-no-metadata,0.1387,0.877314,0.002132,0.2623,No Drift,no_action
5,Phase2_DriftTest,botnet-friday-no-metadata,0.1229,0.853548,0.002342,0.2074,No Drift,no_action
6,Phase2_DriftTest,bruteforce-tuesday-no-metadata,0.1225,0.836296,0.002998,0.1844,No Drift,no_action
7,Phase2_DriftTest,ddos-friday-no-metadata,0.1651,0.820398,0.003350,0.8431,No Drift,no_action
8,Phase2_DriftTest,dos-wednesday-no-metadata,0.1348,0.798989,0.004698,0.2829,No Drift,no_action
9,Phase2_DriftTest,infiltration-thursday-no-metadata,0.1418,0.781398,0.005231,0.0781,Type II: Decision Shift,fine_tune
10,Phase2_DriftTest,portscan-friday-no-metadata,0.1420,0.759755,0.006130,0.0802,Type II: Decision Shift,fine_tune
11,Phase2_DriftTest,webattacks-thursday-no-metadata,0.1552,0.739214,0.006784,0.0896,Type II: Decision Shift,fine_tune
12,Phase2_DriftTest,all,0.0000,0.909115,0.007459,1.4645,Type III: Severe Concept Drift,fine_tune
715,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-30t20_14_53.737987,0.0000,0.910193,0.008326,1.4767,Type III: Severe Concept Drift,fine_tune
716,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-30t20_38_28.859919,0.0000,0.907932,0.008168,1.5059,Type III: Severe Concept Drift,fine_tune
717,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-30t21_02_04.628792,0.0000,0.904217,0.008297,1.4795,Type III: Severe Concept Drift,fine_tune
718,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-30t21_24_57.269335,0.0000,0.899943,0.008452,1.4416,Type III: Severe Concept Drift,fine_tune
719,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-30t21_47_44.394911,0.0000,0.895840,0.008747,1.3943,Type III: Severe Concept Drift,fine_tune
720,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-30t22_10_23.521383,0.0000,0.899049,0.008762,1.4295,Type III: Severe Concept Drift,fine_tune
721,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-30t22_32_59.693494,0.0000,0.903355,0.009053,1.4576,Type III: Severe Concept Drift,fine_tune
722,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-30t22_55_36.495418,0.0000,0.908103,0.009235,1.4882,Type III: Severe Concept Drift,fine_tune
723,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-30t23_18_08.993977,0.0000,0.900721,0.009422,1.4450,Type III: Severe Concept Drift,fine_tune
724,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-30t23_40_42.099501,0.0000,0.896404,0.009630,1.3893,Type III: Severe Concept Drift,fine_tune
725,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t00_03_18.965975,0.0000,0.899634,0.009658,1.4327,Type III: Severe Concept Drift,fine_tune
726,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t00_25_53.490166,0.0000,0.895036,0.010012,1.3798,Type III: Severe Concept Drift,fine_tune
727,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t00_48_32.137398,0.0000,0.896803,0.010382,1.4095,Type III: Severe Concept Drift,fine_tune
728,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t01_11_11.175423,0.0000,0.896611,0.010499,1.4562,Type III: Severe Concept Drift,fine_tune
729,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t01_33_50.184478,0.0000,0.894811,0.010507,1.4266,Type III: Severe Concept Drift,fine_tune
730,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t01_56_28.642906,0.0000,0.890577,0.010927,1.3709,Type II: Decision Shift,fine_tune
731,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t02_19_08.554448,0.0000,0.887615,0.010957,1.3257,Type II: Decision Shift,fine_tune
732,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t02_41_47.454073,0.0000,0.887232,0.011180,1.3673,Type II: Decision Shift,fine_tune
733,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t03_04_21.045929,0.0000,0.883950,0.011542,1.4041,Type II: Decision Shift,fine_tune
734,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t03_26_55.721687,0.0000,0.885119,0.011797,1.4492,Type II: Decision Shift,fine_tune
735,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t03_49_30.072131,0.0000,0.885057,0.012101,1.4918,Type II: Decision Shift,fine_tune
736,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t04_12_03.540198,0.0000,0.883773,0.012446,1.5327,Type II: Decision Shift,fine_tune
737,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t04_34_37.279160,0.0000,0.884086,0.012518,1.5727,Type II: Decision Shift,fine_tune
738,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t04_57_14.936835,0.0000,0.876988,0.012622,1.5335,Type II: Decision Shift,fine_tune
739,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t05_19_52.677832,0.0000,0.866083,0.012837,1.4987,Type II: Decision Shift,fine_tune
740,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t05_42_30.659892,0.0000,0.861401,0.013183,1.4544,Type II: Decision Shift,fine_tune
741,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t06_05_11.066321,0.0000,0.854625,0.013470,1.4883,Type II: Decision Shift,fine_tune
742,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t06_27_53.535674,0.0000,0.841307,0.013900,1.5274,Type II: Decision Shift,fine_tune
743,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t06_50_32.348466,0.0000,0.827861,0.014468,1.5639,Type II: Decision Shift,fine_tune
744,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t07_13_12.180184,0.0000,0.810974,0.014949,1.5995,Type II: Decision Shift,fine_tune
745,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t07_35_48.659090,0.0000,0.798221,0.015088,1.5676,Type II: Decision Shift,fine_tune
746,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t07_58_20.826286,0.0000,0.776216,0.015294,1.5971,Type II: Decision Shift,fine_tune
747,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t08_20_56.860006,0.0000,0.755576,0.015509,1.6209,Type II: Decision Shift,fine_tune
748,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t08_43_35.388576,0.0000,0.726836,0.015614,1.6492,Type II: Decision Shift,fine_tune
749,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t09_06_14.156546,0.0000,0.699360,0.016081,1.6297,Type II: Decision Shift,fine_tune
750,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t09_28_54.227384,0.0000,0.673246,0.016400,1.6121,Type II: Decision Shift,fine_tune
751,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t09_51_39.782772,0.0000,0.660559,0.016623,1.6041,Type II: Decision Shift,fine_tune
752,Phase2_DriftTest,dns2tcp_tunnel_99911_doh10_2020-03-31t10_14_24.855361,0.0000,0.644042,0.016681,1.5918,Type II: Decision Shift,fine_tune
