Step,Chunk,Shift_Score_KAN,Shift_Score_Rep,F1_Macro,Accuracy,Loss,Entropy,ECE,Confidence
1,l1-doh-nondoh,0.000000,0.000000,0.0000,0.0000,9.5221,1.4562,0.4034,0.4034
2,l2-benigndoh-maliciousdoh,0.000313,0.000003,0.0000,0.0000,5.8755,1.4745,0.3939,0.3939
3,benign-monday-no-metadata,0.001178,1.120418,0.1392,0.9504,0.2265,0.2433,0.0246,0.9358
4,botnet-friday-no-metadata,0.001810,1.119347,0.1236,0.9700,0.2254,0.1293,0.0138,0.9695
5,bruteforce-tuesday-no-metadata,0.003592,1.099501,0.1229,0.9619,0.2463,0.1013,0.0136,0.9756
6,ddos-friday-no-metadata,0.004582,1.055074,0.1610,0.5487,1.3822,0.8150,0.1581,0.7065
7,dos-wednesday-no-metadata,0.007869,1.085022,0.1207,0.6893,1.7630,0.1699,0.2563,0.9455
8,infiltration-thursday-no-metadata,0.009430,1.073734,0.1662,0.9949,0.0214,0.0270,0.0024,0.9930
9,portscan-friday-no-metadata,0.010375,1.069999,0.1424,0.9786,0.3220,0.0654,0.0097,0.9876
10,webattacks-thursday-no-metadata,0.011469,1.055114,0.1707,0.9817,0.1941,0.0411,0.0105,0.9920
11,all,0.011501,0.003902,0.0000,0.0000,5.6085,1.5029,0.4223,0.4223
12,dns2tcp_tunnel_99911_doh10_2020-03-30t20_14_53.737987,0.011298,0.003902,0.0000,0.0000,5.4356,1.5065,0.4217,0.4217
13,dns2tcp_tunnel_99911_doh10_2020-03-30t20_38_28.859919,0.011099,0.003901,0.0000,0.0000,5.4183,1.5069,0.4216,0.4216
14,dns2tcp_tunnel_99911_doh10_2020-03-30t21_02_04.628792,0.010904,0.003901,0.0000,0.0000,5.4010,1.5073,0.4216,0.4216
15,dns2tcp_tunnel_99911_doh10_2020-03-30t21_24_57.269335,0.010712,0.003901,0.0000,0.0000,5.3837,1.5077,0.4215,0.4215
16,dns2tcp_tunnel_99911_doh10_2020-03-30t21_47_44.394911,0.010524,0.003900,0.0000,0.0000,5.3664,1.5081,0.4214,0.4214
17,dns2tcp_tunnel_99911_doh10_2020-03-30t22_10_23.521383,0.010340,0.003900,0.0000,0.0000,5.3491,1.5085,0.4214,0.4214
18,dns2tcp_tunnel_99911_doh10_2020-03-30t22_32_59.693494,0.010160,0.003900,0.0000,0.0000,5.3318,1.5089,0.4213,0.4213
19,dns2tcp_tunnel_99911_doh10_2020-03-30t22_55_36.495418,0.009983,0.003900,0.0000,0.0000,5.3145,1.5093,0.4212,0.4212
