Chunk,Shift_Score,Is_Drift,Coeff_0,Coeff_1,Coeff_2,Coeff_3,Coeff_4,Coeff_5,Coeff_6,Coeff_7,Coeff_8,Coeff_9,Coeff_10,Coeff_11,Coeff_12,Coeff_13,Coeff_14,Coeff_15,Coeff_16,Coeff_17,Coeff_18,Coeff_19,Coeff_20,Coeff_21,Coeff_22,Coeff_23,Coeff_24,Coeff_25,Coeff_26,Coeff_27,Coeff_28,Coeff_29,Coeff_30,Coeff_31,Coeff_32,Coeff_33,Coeff_34,Coeff_35,Coeff_36,Coeff_37,Coeff_38,Coeff_39,Coeff_40,Coeff_41,Coeff_42,Coeff_43,Coeff_44,Coeff_45,Coeff_46,Coeff_47,Coeff_48,Coeff_49
l1-doh-nondoh,0.000000,False,-0.053882,-0.534336,-0.106565,0.022539,-0.057950,0.145379,0.083164,-0.300817,-0.057365,0.217315,0.319053,0.011300,-0.048064,-0.508799,-0.148470,0.293472,-0.049064,0.092201,0.225786,0.309221,-0.072145,-0.622387,-0.229198,0.406600,-0.050850,0.248596,0.527478,0.190775,-0.044085,-0.406259,-0.081988,0.272291,-0.042778,-0.178291,0.003692,0.093642,-0.054750,0.045383,-0.089508,-0.389644,-0.052803,0.581790,0.074027,-0.625886,-0.054908,0.084446,0.115186,-0.087008,-0.068652,0.268349
l2-benigndoh-maliciousdoh,0.000313,False,-0.053196,-0.533655,-0.107251,0.021858,-0.057265,0.144695,0.082478,-0.300133,-0.056679,0.218000,0.318367,0.010615,-0.047378,-0.509484,-0.149155,0.294158,-0.048379,0.092886,0.226472,0.309906,-0.071459,-0.621700,-0.229884,0.405912,-0.050164,0.249282,0.526794,0.190089,-0.043399,-0.405575,-0.082674,0.271607,-0.042093,-0.178977,0.003006,0.094327,-0.054064,0.044696,-0.090193,-0.388958,-0.052118,0.581104,0.073342,-0.625200,-0.054223,0.085132,0.115871,-0.086322,-0.067967,0.267668
benign-monday-no-metadata,0.001178,False,-0.044936,-0.525462,-0.099718,0.027351,-0.049005,0.136977,0.074236,-0.292118,-0.048420,0.226265,0.324682,0.015175,-0.039118,-0.501543,-0.156995,0.287802,-0.040119,0.100501,0.218222,0.302273,-0.063199,-0.614241,-0.237718,0.404532,-0.041904,0.257234,0.519299,0.188614,-0.035140,-0.408344,-0.090845,0.277640,-0.033833,-0.186376,-0.005256,0.102167,-0.045804,0.047355,-0.098396,-0.382590,-0.043858,0.589248,0.067599,-0.632612,-0.045963,0.093340,0.108230,-0.094418,-0.059707,0.275799
botnet-friday-no-metadata,0.001810,False,-0.041691,-0.522321,-0.097084,0.029392,-0.045760,0.134418,0.071021,-0.289085,-0.045175,0.229655,0.326759,0.015557,-0.035873,-0.498903,-0.160283,0.285308,-0.036874,0.103146,0.214961,0.299966,-0.059955,-0.611772,-0.241041,0.404232,-0.038659,0.260548,0.516725,0.188037,-0.031895,-0.407431,-0.094107,0.278128,-0.030588,-0.188895,-0.008509,0.105089,-0.042560,0.045747,-0.101687,-0.380102,-0.040613,0.592525,0.065722,-0.635733,-0.042718,0.096560,0.105170,-0.097485,-0.056462,0.279044
bruteforce-tuesday-no-metadata,0.003592,False,-0.035552,-0.516300,-0.091950,0.032711,-0.039621,0.128854,0.064813,-0.283256,-0.039036,0.235947,0.331020,0.016974,-0.029735,-0.493417,-0.166320,0.280213,-0.030735,0.107798,0.208392,0.294744,-0.053816,-0.607298,-0.247391,0.403830,-0.032520,0.266552,0.511489,0.184451,-0.025756,-0.402857,-0.100251,0.275084,-0.024449,-0.193320,-0.014676,0.110489,-0.036421,0.042865,-0.107867,-0.374934,-0.034474,0.598683,0.062629,-0.641202,-0.036579,0.102598,0.099502,-0.103476,-0.050323,0.285753
ddos-friday-no-metadata,0.004582,False,-0.034127,-0.514462,-0.089049,0.031895,-0.038196,0.124472,0.062935,-0.279592,-0.037611,0.236768,0.327887,0.013147,-0.028309,-0.491997,-0.167532,0.278618,-0.029310,0.108227,0.205147,0.292510,-0.052391,-0.606154,-0.248687,0.405498,-0.031095,0.267109,0.508742,0.182932,-0.024331,-0.400584,-0.101057,0.272307,-0.023024,-0.192326,-0.015941,0.110387,-0.034996,0.038487,-0.110796,-0.372670,-0.033049,0.601524,0.061820,-0.644539,-0.035154,0.103452,0.097292,-0.104946,-0.048898,0.288333
dos-wednesday-no-metadata,0.007869,True,-0.033937,-0.512860,-0.077309,0.040149,-0.038005,0.112189,0.060028,-0.267183,-0.037420,0.236528,0.323357,0.005412,-0.028119,-0.487214,-0.166319,0.275171,-0.029119,0.106595,0.192869,0.292950,-0.052200,-0.597220,-0.247754,0.397022,-0.030905,0.266013,0.496441,0.174550,-0.024140,-0.390053,-0.100357,0.261529,-0.022834,-0.189402,-0.015926,0.108278,-0.034805,0.028773,-0.112127,-0.360713,-0.032859,0.611682,0.063843,-0.656698,-0.034963,0.102723,0.085627,-0.109752,-0.048707,0.297222
infiltration-thursday-no-metadata,0.009430,True,-0.030467,-0.509550,-0.074625,0.041851,-0.034536,0.109020,0.056566,-0.263926,-0.033951,0.239962,0.325350,0.007026,-0.024649,-0.483999,-0.169523,0.272369,-0.025650,0.109626,0.189767,0.290913,-0.048730,-0.595108,-0.250938,0.398282,-0.027435,0.269617,0.493446,0.172897,-0.020671,-0.387349,-0.103780,0.258927,-0.019364,-0.190180,-0.019371,0.109614,-0.031335,0.027085,-0.115549,-0.358184,-0.029389,0.615076,0.061621,-0.659497,-0.031494,0.106082,0.082892,-0.113219,-0.045238,0.300714
portscan-friday-no-metadata,0.010375,True,-0.028370,-0.507454,-0.073024,0.041956,-0.032438,0.107293,0.054453,-0.262139,-0.031853,0.242041,0.325296,0.006425,-0.022552,-0.482039,-0.171444,0.270375,-0.023552,0.111405,0.187792,0.289469,-0.046633,-0.594057,-0.252607,0.398235,-0.025338,0.271205,0.491859,0.172626,-0.018573,-0.385714,-0.105901,0.257317,-0.017267,-0.190257,-0.021331,0.111015,-0.029238,0.025781,-0.117658,-0.356316,-0.027292,0.617116,0.060273,-0.661344,-0.029396,0.108054,0.081332,-0.115108,-0.043140,0.302672
webattacks-thursday-no-metadata,0.011469,True,-0.025921,-0.505082,-0.071224,0.042247,-0.029990,0.105197,0.052021,-0.259951,-0.029405,0.244441,0.324576,0.005592,-0.020103,-0.479920,-0.172529,0.268493,-0.021104,0.113552,0.185869,0.288736,-0.044185,-0.592443,-0.254253,0.398312,-0.022889,0.273427,0.489912,0.173297,-0.016125,-0.383734,-0.108418,0.255317,-0.014818,-0.190527,-0.023837,0.111616,-0.026790,0.025471,-0.120004,-0.354998,-0.024843,0.619392,0.058476,-0.663248,-0.026948,0.110561,0.079402,-0.117217,-0.040692,0.304742
