Rank,Coeff_Index,Mean_Abs_Change,Std_Change
1,921,0.109899,0.029838
2,941,0.109693,0.032599
3,905,0.109531,0.029669
4,904,0.109324,0.032917
5,992,0.109324,0.032917
6,976,0.109324,0.032917
7,980,0.109324,0.032917
8,924,0.109324,0.032917
9,936,0.109324,0.032917
10,896,0.109324,0.032917
11,928,0.109324,0.032917
12,940,0.109324,0.032917
13,964,0.109324,0.032917
14,920,0.109324,0.032917
15,932,0.109324,0.032917
16,944,0.109324,0.032917
17,1020,0.109324,0.032917
18,916,0.109324,0.032917
19,972,0.109324,0.032917
20,968,0.109324,0.032917
