Run,Chunk_Index,F1_Macro
Run_A (P2→P3),0,0.0000
Run_A (P2→P3),1,0.0000
Run_A (P2→P3),2,0.1388
Run_A (P2→P3),3,0.1229
Run_A (P2→P3),4,0.1223
Run_A (P2→P3),5,0.1623
Run_A (P2→P3),6,0.1334
Run_A (P2→P3),7,0.1656
Run_A (P2→P3),8,0.1418
Run_A (P2→P3),9,0.1798
Run_A (P2→P3),10,0.0000
Run_A (P2→P3),11,0.0000
Run_A (P2→P3),12,0.0000
Run_A (P2→P3),13,0.0000
Run_A (P2→P3),14,0.0000
Run_A (P2→P3),15,0.0000
Run_A (P2→P3),16,0.0000
Run_A (P2→P3),17,0.0000
Run_A (P2→P3),18,0.0000
Run_A (P2→P3),19,0.0000
Run_A (P2→P3),20,0.0000
Run_A (P2→P3),21,0.0000
Run_A (P2→P3),22,0.0000
Run_A (P2→P3),23,0.0000
Run_A (P2→P3),24,0.0000
Run_A (P2→P3),25,0.0000
Run_A (P2→P3),26,0.0000
Run_A (P2→P3),27,0.0000
Run_A (P2→P3),28,0.0000
Run_A (P2→P3),29,0.0000
Run_A (P2→P3),30,0.0000
Run_A (P2→P3),31,0.0000
Run_A (P2→P3),32,0.0000
Run_A (P2→P3),33,0.0000
Run_A (P2→P3),34,0.0000
Run_A (P2→P3),35,0.0000
Run_A (P2→P3),36,0.0000
Run_A (P2→P3),37,0.0000
Run_A (P2→P3),38,0.0000
Run_A (P2→P3),39,0.0000
Run_A (P2→P3),40,0.0000
Run_A (P2→P3),41,0.0000
Run_A (P2→P3),42,0.0000
Run_A (P2→P3),43,0.0000
Run_A (P2→P3),44,0.0000
Run_A (P2→P3),45,0.0000
Run_A (P2→P3),46,0.0000
Run_A (P2→P3),47,0.0000
Run_A (P2→P3),48,0.0000
Run_A (P2→P3),49,0.0000
Run_A (P2→P3),50,0.0000
Run_A (P2→P3),51,0.0000
Run_A (P2→P3),52,0.0000
Run_A (P2→P3),53,0.0000
Run_A (P2→P3),54,0.0000
Run_A (P2→P3),55,0.0000
Run_A (P2→P3),56,0.0000
Run_A (P2→P3),57,0.0000
Run_A (P2→P3),58,0.0000
Run_A (P2→P3),59,0.0000
Run_A (P2→P3),60,0.0000
Run_A (P2→P3),61,0.0000
Run_A (P2→P3),62,0.0000
Run_A (P2→P3),63,0.0000
Run_A (P2→P3),64,0.0000
Run_A (P2→P3),65,0.0000
Run_A (P2→P3),66,0.0000
Run_A (P2→P3),67,0.0000
Run_A (P2→P3),68,0.0000
Run_A (P2→P3),69,0.0000
Run_A (P2→P3),70,0.0000
Run_A (P2→P3),71,0.0000
Run_A (P2→P3),72,0.0000
Run_A (P2→P3),73,0.0000
Run_A (P2→P3),74,0.0000
Run_A (P2→P3),75,0.0000
Run_A (P2→P3),76,0.0000
Run_A (P2→P3),77,0.0000
Run_A (P2→P3),78,0.0000
Run_A (P2→P3),79,0.0000
Run_A (P2→P3),80,0.0000
Run_A (P2→P3),81,0.0000
Run_A (P2→P3),82,0.0000
Run_A (P2→P3),83,0.0000
Run_A (P2→P3),84,0.0000
Run_A (P2→P3),85,0.0000
Run_A (P2→P3),86,0.0000
Run_A (P2→P3),87,0.0000
Run_A (P2→P3),88,0.0000
Run_A (P2→P3),89,0.0000
Run_A (P2→P3),90,0.0000
Run_A (P2→P3),91,0.0000
Run_A (P2→P3),92,0.0000
Run_A (P2→P3),93,0.0000
Run_A (P2→P3),94,0.0000
Run_A (P2→P3),95,0.0000
Run_A (P2→P3),96,0.0000
Run_A (P2→P3),97,0.0000
Run_A (P2→P3),98,0.0000
Run_A (P2→P3),99,0.0000
Run_A (P2→P3),100,0.0000
Run_A (P2→P3),101,0.0000
Run_A (P2→P3),102,0.0000
Run_A (P2→P3),103,0.0000
Run_A (P2→P3),104,0.0000
Run_A (P2→P3),105,0.0000
Run_A (P2→P3),106,0.0000
Run_A (P2→P3),107,0.0000
Run_A (P2→P3),108,0.0000
Run_A (P2→P3),109,0.0000
Run_A (P2→P3),110,0.0000
Run_A (P2→P3),111,0.0000
Run_A (P2→P3),112,0.0000
Run_A (P2→P3),113,0.0000
Run_A (P2→P3),114,0.0000
Run_A (P2→P3),115,0.0000
Run_A (P2→P3),116,0.0000
Run_A (P2→P3),117,0.0000
Run_A (P2→P3),118,0.0000
Run_A (P2→P3),119,0.0000
Run_A (P2→P3),120,0.0000
Run_A (P2→P3),121,0.0000
Run_A (P2→P3),122,0.0000
Run_A (P2→P3),123,0.0000
Run_A (P2→P3),124,0.0000
Run_A (P2→P3),125,0.0000
Run_A (P2→P3),126,0.0000
Run_A (P2→P3),127,0.0000
Run_A (P2→P3),128,0.0000
Run_A (P2→P3),129,0.0000
Run_A (P2→P3),130,0.0000
Run_A (P2→P3),131,0.0000
Run_A (P2→P3),132,0.0000
Run_A (P2→P3),133,0.0000
Run_A (P2→P3),134,0.0000
Run_A (P2→P3),135,0.0000
Run_A (P2→P3),136,0.0000
Run_A (P2→P3),137,0.0000
Run_A (P2→P3),138,0.0000
Run_A (P2→P3),139,0.0000
Run_A (P2→P3),140,0.0000
Run_A (P2→P3),141,0.0000
Run_A (P2→P3),142,0.0000
Run_A (P2→P3),143,0.0000
Run_A (P2→P3),144,1.0000
Run_A (P2→P3),145,0.0013
Run_A (P2→P3),146,0.0587
Run_A (P2→P3),147,0.1985
Run_A (P2→P3),148,0.2400
Run_A (P2→P3),149,0.2560
Run_A (P2→P3),150,0.3279
Run_A (P2→P3),151,0.3332
Run_A (P2→P3),152,0.4702
Run_A (P2→P3),153,0.4182
Run_A (P2→P3),154,0.4210
Run_A (P2→P3),155,0.3480
Run_A (P2→P3),156,0.1097
Run_A (P2→P3),0,0.0000
Run_A (P2→P3),1,0.0000
Run_A (P2→P3),2,0.1388
Run_A (P2→P3),3,0.1229
Run_A (P2→P3),4,0.1223
Run_A (P2→P3),5,0.1623
Run_A (P2→P3),6,0.1334
Run_A (P2→P3),7,0.1656
Run_A (P2→P3),8,0.1418
Run_A (P2→P3),9,0.1798
Run_A (P2→P3),10,0.0000
Run_A (P2→P3),11,0.0000
Run_A (P2→P3),12,0.0000
Run_A (P2→P3),13,0.0000
Run_A (P2→P3),14,0.0000
Run_A (P2→P3),15,0.0000
Run_A (P2→P3),16,0.0000
Run_A (P2→P3),17,0.0000
Run_A (P2→P3),18,0.0000
Run_A (P2→P3),19,0.0000
Run_A (P2→P3),20,0.0000
Run_A (P2→P3),21,0.0000
Run_A (P2→P3),22,0.0000
Run_A (P2→P3),23,0.0000
Run_A (P2→P3),24,0.0000
Run_A (P2→P3),25,0.0000
Run_A (P2→P3),26,0.0000
Run_A (P2→P3),27,0.0000
Run_A (P2→P3),28,0.0000
Run_A (P2→P3),29,0.0000
Run_A (P2→P3),30,0.0000
Run_A (P2→P3),31,0.0000
Run_A (P2→P3),32,0.0000
Run_A (P2→P3),33,0.0000
Run_A (P2→P3),34,0.0000
Run_A (P2→P3),35,0.0000
Run_A (P2→P3),36,0.0000
Run_A (P2→P3),37,0.0000
Run_A (P2→P3),38,0.0000
Run_A (P2→P3),39,0.0000
Run_A (P2→P3),40,0.0000
Run_A (P2→P3),41,0.0000
Run_A (P2→P3),42,0.0000
Run_A (P2→P3),43,0.0000
Run_A (P2→P3),44,0.0000
Run_A (P2→P3),45,0.0000
Run_A (P2→P3),46,0.0000
Run_A (P2→P3),47,0.0000
Run_A (P2→P3),48,0.0000
Run_A (P2→P3),49,0.0000
Run_A (P2→P3),50,0.0000
Run_A (P2→P3),51,0.0000
Run_A (P2→P3),52,0.0000
Run_A (P2→P3),53,0.0000
Run_A (P2→P3),54,0.0000
Run_A (P2→P3),55,0.0000
Run_A (P2→P3),56,0.0000
Run_A (P2→P3),57,0.0000
Run_A (P2→P3),58,0.0000
