Chunk_Index,Chunk_Name,Drift-TKAN_F1,Drift-TKAN_Drift,ADWIN_F1,ADWIN_Drift,PageHinkley_F1,PageHinkley_Drift,DDM_F1,DDM_Drift
0,l1-doh-nondoh,0.0000,False,0.0000,False,0.0000,False,0.0000,False
1,l2-benigndoh-maliciousdoh,0.0000,False,0.0000,False,0.0000,False,0.0000,False
2,benign-monday-no-metadata,0.1392,False,0.1382,True,0.1382,True,0.1382,False
3,botnet-friday-no-metadata,0.1236,False,0.1243,True,0.1243,True,0.1218,False
4,bruteforce-tuesday-no-metadata,0.1229,False,0.1410,True,0.1410,True,0.1214,False
5,ddos-friday-no-metadata,0.1610,False,0.1389,True,0.1389,True,0.1631,True
6,dos-wednesday-no-metadata,0.1207,True,0.1189,True,0.1189,True,0.1264,True
7,infiltration-thursday-no-metadata,0.1662,True,0.1998,False,0.1998,False,0.1419,True
8,portscan-friday-no-metadata,0.1663,True,0.1664,True,0.1664,True,0.1423,True
9,webattacks-thursday-no-metadata,0.1710,True,0.2156,True,0.2156,True,0.1512,True
10,all,0.0000,True,0.0000,False,0.0000,False,0.0000,False
11,dns2tcp_tunnel_99911_doh10_2020-03-30t20_14_53.737987,0.0000,True,0.0000,False,0.0000,False,0.0000,False
12,dns2tcp_tunnel_99911_doh10_2020-03-30t20_38_28.859919,0.0000,True,0.0000,False,0.0000,False,0.0000,False
13,dns2tcp_tunnel_99911_doh10_2020-03-30t21_02_04.628792,0.0000,True,0.0000,False,0.0000,False,0.0000,False
14,dns2tcp_tunnel_99911_doh10_2020-03-30t21_24_57.269335,0.0000,True,0.0000,False,0.0000,False,0.0000,False
15,dns2tcp_tunnel_99911_doh10_2020-03-30t21_47_44.394911,0.0000,True,0.0000,False,0.0000,False,0.0000,False
16,dns2tcp_tunnel_99911_doh10_2020-03-30t22_10_23.521383,0.0000,True,0.0000,False,0.0000,False,0.0000,False
17,dns2tcp_tunnel_99911_doh10_2020-03-30t22_32_59.693494,0.0000,True,0.0000,False,0.0000,False,0.0000,False
18,dns2tcp_tunnel_99911_doh10_2020-03-30t22_55_36.495418,0.0000,True,0.0000,False,0.0000,False,0.0000,False
19,dns2tcp_tunnel_99911_doh10_2020-03-30t23_18_08.993977,0.0000,True,0.0000,False,0.0000,False,0.0000,False
20,dns2tcp_tunnel_99911_doh10_2020-03-30t23_40_42.099501,0.0000,True,0.0000,False,0.0000,False,0.0000,False
21,dns2tcp_tunnel_99911_doh10_2020-03-31t00_03_18.965975,0.0000,True,0.0000,False,0.0000,False,0.0000,False
22,dns2tcp_tunnel_99911_doh10_2020-03-31t00_25_53.490166,0.0000,True,0.0000,False,0.0000,False,0.0000,False
23,dns2tcp_tunnel_99911_doh10_2020-03-31t00_48_32.137398,0.0000,True,0.0000,False,0.0000,False,0.0000,False
24,dns2tcp_tunnel_99911_doh10_2020-03-31t01_11_11.175423,0.0000,True,0.0000,False,0.0000,False,0.0000,False
25,dns2tcp_tunnel_99911_doh10_2020-03-31t01_33_50.184478,0.0000,True,0.0000,False,0.0000,False,0.0000,False
26,dns2tcp_tunnel_99911_doh10_2020-03-31t01_56_28.642906,0.0000,True,0.0000,False,0.0000,False,0.0000,False
27,dns2tcp_tunnel_99911_doh10_2020-03-31t02_19_08.554448,0.0000,True,0.0000,False,0.0000,False,0.0000,False
28,dns2tcp_tunnel_99911_doh10_2020-03-31t02_41_47.454073,0.0000,True,0.0000,False,0.0000,False,0.0000,False
29,dns2tcp_tunnel_99911_doh10_2020-03-31t03_04_21.045929,0.0000,True,0.0000,False,0.0000,False,0.0000,False
30,dns2tcp_tunnel_99911_doh10_2020-03-31t03_26_55.721687,0.0000,True,0.0000,False,0.0000,False,0.0000,False
31,dns2tcp_tunnel_99911_doh10_2020-03-31t03_49_30.072131,0.0000,True,0.0000,False,0.0000,False,0.0000,False
32,dns2tcp_tunnel_99911_doh10_2020-03-31t04_12_03.540198,0.0000,True,0.0000,False,0.0000,False,0.0000,False
33,dns2tcp_tunnel_99911_doh10_2020-03-31t04_34_37.279160,0.0000,True,0.0000,False,0.0000,False,0.0000,False
34,dns2tcp_tunnel_99911_doh10_2020-03-31t04_57_14.936835,0.0000,True,0.0000,False,0.0000,False,0.0000,False
35,dns2tcp_tunnel_99911_doh10_2020-03-31t05_19_52.677832,0.0000,True,0.0000,False,0.0000,False,0.0000,False
36,dns2tcp_tunnel_99911_doh10_2020-03-31t05_42_30.659892,0.0000,True,0.0000,False,0.0000,False,0.0000,False
37,dns2tcp_tunnel_99911_doh10_2020-03-31t06_05_11.066321,0.0000,True,0.0000,False,0.0000,False,0.0000,False
38,dns2tcp_tunnel_99911_doh10_2020-03-31t06_27_53.535674,0.0000,True,0.0000,False,0.0000,False,0.0000,False
39,dns2tcp_tunnel_99911_doh10_2020-03-31t06_50_32.348466,0.0000,True,0.0000,False,0.0000,False,0.0000,False
40,dns2tcp_tunnel_99911_doh10_2020-03-31t07_13_12.180184,0.0000,True,0.0000,False,0.0000,False,0.0000,False
41,dns2tcp_tunnel_99911_doh10_2020-03-31t07_35_48.659090,0.0000,True,0.0000,False,0.0000,False,0.0000,False
42,dns2tcp_tunnel_99911_doh10_2020-03-31t07_58_20.826286,0.0000,True,0.0000,False,0.0000,False,0.0000,False
43,dns2tcp_tunnel_99911_doh10_2020-03-31t08_20_56.860006,0.0000,True,0.0000,False,0.0000,False,0.0000,False
44,dns2tcp_tunnel_99911_doh10_2020-03-31t08_43_35.388576,0.0000,True,0.0000,False,0.0000,False,0.0000,False
45,dns2tcp_tunnel_99911_doh10_2020-03-31t09_06_14.156546,0.0000,True,0.0000,False,0.0000,False,0.0000,False
46,dns2tcp_tunnel_99911_doh10_2020-03-31t09_28_54.227384,0.0000,True,0.0000,False,0.0000,False,0.0000,False
47,dns2tcp_tunnel_99911_doh10_2020-03-31t09_51_39.782772,0.0000,True,0.0000,False,0.0000,False,0.0000,False
48,dns2tcp_tunnel_99911_doh10_2020-03-31t10_14_24.855361,0.0000,True,0.0000,False,0.0000,False,0.0000,False
49,dns2tcp_tunnel_99911_doh10_2020-03-31t10_37_07.841741,0.0000,True,0.0000,False,0.0000,False,0.0000,False
50,dns2tcp_tunnel_99911_doh10_2020-03-31t10_59_53.217370,0.0000,True,0.0000,False,0.0000,False,0.0000,False
51,dns2tcp_tunnel_99911_doh10_2020-03-31t11_22_31.430399,0.0000,True,0.0000,False,0.0000,False,0.0000,False
52,dns2tcp_tunnel_99911_doh10_2020-03-31t11_45_12.596724,0.0000,True,0.0000,False,0.0000,False,0.0000,False
